Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
orsa, PRJNA561728, SRR10053825, control, xanthomonas-oryzae, 2, 10^8CFUs, 0h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053826, control, xanthomonas-oryzae, 1, 10^8CFUs, 0h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053827, treated, xanthomonas-oryzae, 2, 10^8CFUs, 36h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053828, treated, xanthomonas-oryzae, 1, 10^8CFUs, 36h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053829, treated, xanthomonas-oryzae, 2, 10^8CFUs, 24h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053830, treated, xanthomonas-oryzae, 1, 10^8CFUs, 24h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053831, treated, xanthomonas-oryzae, 2, 10^8CFUs, 12h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053832, treated, xanthomonas-oryzae, 1, 10^8CFUs, 12h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053833, treated, xanthomonas-oryzae, 2, 10^8CFUs, 36h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053834, treated, xanthomonas-oryzae, 1, 10^8CFUs, 36h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053835, treated, xanthomonas-oryzae, 2, 10^8CFUs, 24h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053836, treated, xanthomonas-oryzae, 1, 10^8CFUs, 24h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053837, treated, xanthomonas-oryzae, 2, 10^8CFUs, 12h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053838, treated, xanthomonas-oryzae, 1, 10^8CFUs, 12h, F329, leaves, tillering-stage, G.R, single
orsa, PRJNA561728, SRR10053839, control, xanthomonas-oryzae, 2, 10^8CFUs, 0h, HHZ, leaves, tillering-stage, G.S, single
orsa, PRJNA561728, SRR10053840, control, xanthomonas-oryzae, 1, 10^8CFUs, 0h, HHZ, leaves, tillering-stage, G.S, single
