Group	Species	Project	Run	Treatment	Replicate	Level	Time	Cultivar	Tissue	Stage	Genotype	Batch	Test	Design	DesignRef	DesignRed	Contrast
2	Glycine max	PRJNA720229	SRR14182721	salt	3	0.9%	24h	glycine-soja-W05	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
2	Glycine max	PRJNA720229	SRR14182722	salt	2	0.9%	24h	glycine-soja-W05	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
2	Glycine max	PRJNA720229	SRR14182723	salt	1	0.9%	24h	glycine-soja-W05	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
2	Glycine max	PRJNA720229	SRR14182714	salt	3	0.9%	48h	glycine-soja-W05	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
2	Glycine max	PRJNA720229	SRR14182716	salt	2	0.9%	48h	glycine-soja-W05	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
2	Glycine max	PRJNA720229	SRR14182717	salt	1	0.9%	48h	glycine-soja-W05	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182747	None	3	L.0	0h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182749	None	2	L.0	0h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182750	None	1	L.0	0h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182744	salt	3	0.9%	1h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182745	salt	2	0.9%	1h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182746	salt	1	0.9%	1h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182738	salt	3	0.9%	2h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182739	salt	2	0.9%	2h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182740	salt	1	0.9%	2h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182731	salt	3	0.9%	4h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182732	salt	2	0.9%	4h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182733	salt	1	0.9%	4h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182741	salt	3	0.9%	24h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182742	salt	2	0.9%	24h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182743	salt	1	0.9%	24h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182734	salt	3	0.9%	48h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182735	salt	2	0.9%	48h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
3	Glycine max	PRJNA720229	SRR14182736	salt	1	0.9%	48h	glycine-soja-C08	root	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182748	None	3	L.0	0h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182759	None	2	L.0	0h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
