Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
trae, PRJNA480952, SRR7550252, control, zymoseptoria-tritici, 1, L.0, 14d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550253, control, zymoseptoria-tritici, 3, L.0, 12d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550254, control, zymoseptoria-tritici, 3, L.0, 14d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550255, control, zymoseptoria-tritici, 2, L.0, 14d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550256, control, zymoseptoria-tritici, 3, L.0, 7d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550257, control, zymoseptoria-tritici, 2, L.0, 7d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550258, control, zymoseptoria-tritici, 2, L.0, 12d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550259, control, zymoseptoria-tritici, 1, L.0, 12d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550270, treated, zymoseptoria-tritici, 2, L.0, 14d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550271, treated, zymoseptoria-tritici, 1, L.0, 14d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550272, treated, zymoseptoria-tritici, 3, L.0, 12d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550273, treated, zymoseptoria-tritici, 2, L.0, 12d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550274, treated, zymoseptoria-tritici, 1, L.0, 12d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550275, treated, zymoseptoria-tritici, 3, L.0, 7d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550276, treated, zymoseptoria-tritici, 2, L.0, 7d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550277, treated, zymoseptoria-tritici, 1, L.0, 7d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550278, control, zymoseptoria-tritici, 1, L.0, 7d, Drifter, leaves, D.0, G.0, single
trae, PRJNA480952, SRR7550279, treated, zymoseptoria-tritici, 3, L.0, 14d, Drifter, leaves, D.0, G.0, single
