Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
zema, PRJNA413997, SRR6161355, treated, drought, 2, severe, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161356, treated, drought, 1, severe, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161357, control, drought, 1, severe, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161358, control, drought, 2, moderate, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161359, control, drought, 1, moderate, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161360, treated, drought, 2, severe, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161361, treated, drought, 1, severe, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161362, control, drought, 2, severe, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161363, control, drought, 1, severe, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161364, treated, drought, 1, moderate, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161365, treated, drought, 2, moderate, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161366, treated, drought, 1, severe, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161367, treated, drought, 2, severe, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161368, treated, drought, 1, moderate, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161369, treated, drought, 2, moderate, T.0, H082183, root, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161370, control, drought, 1, severe, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161371, control, drought, 2, severe, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161372, control, drought, 1, moderate, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161373, control, drought, 2, moderate, T.0, Lv28, root, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161374, control, drought, 2, moderate, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161375, control, drought, 1, moderate, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161377, control, drought, 1, moderate, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161378, control, drought, 2, severe, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161379, control, drought, 1, severe, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161380, treated, drought, 2, moderate, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161381, treated, drought, 1, moderate, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161382, treated, drought, 2, severe, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161383, treated, drought, 1, severe, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
zema, PRJNA413997, SRR6161384, treated, drought, 2, moderate, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161385, treated, drought, 1, moderate, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6161386, control, drought, 2, severe, T.0, Lv28, leaves, vegetative-growth-phase, G.S, single
zema, PRJNA413997, SRR6168985, control, drought, 2, moderate, T.0, H082183, leaves, vegetative-growth-phase, G.T, single
