Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
caan, PRJNA784690-2, SRR19973777, treated, tswv, 3, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973778, treated, tswv, 2, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973779, treated, tswv, 1, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973780, control, cacv:tswv, 3, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973781, control, cacv:tswv, 2, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973788, control, cacv:tswv, 1, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973799, treated, cacv, 3, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973810, treated, cacv, 2, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
caan, PRJNA784690-2, SRR19973811, treated, cacv, 1, L.0, T.0, Yolo-Wonder, apical, 4-leaf, G.0, single
