Species_name,miRBase_id,PmiREN_id,sRNAanno_id,Final_id
Phaseolus vulgaris,pvu,pvu,pvu,pvu
Phoenix dactylifera,NULL,pda,pda,pda
Phyllostachys heterocycla,NULL,NULL,phe,phe
Physcomitrella patens,ppt,ppa,ppt,ppt
Picea abies,pab,pab,pab,pab
Pinus densata,pde,NULL,NULL,pde
Pinus taeda,pta,NULL,NULL,pta
Piper nigrum,NULL,NULL,pni,pni
Pisum sativum,NULL,psa,NULL,psa
Pogostemon cablin,NULL,NULL,pca,pca
Populus alba,NULL,NULL,pal,pal
Populus euphratica,peu,peu,NULL,peu
Populus tremula,NULL,NULL,ptr,ptr
Populus trichocarpa,ptc,ptr,ptc,ptc
Prunus avium,NULL,NULL,pav,pav
Prunus dulcis,NULL,NULL,pdu,pdu
Prunus persica,ppe,ppe,ppe,ppe
Punica granatum,NULL,pgr,pgr,pgr
Pyrus bretschneideri,NULL,NULL,pbr,pbr
Quercus robur,NULL,qro,NULL,qro
Raphanus sativus,NULL,NULL,rsa,rsa
Rehmannia glutinosa,rgl,NULL,NULL,rgl
Ricinus communis,rco,rco,rco,rco
Saccharum hybrid cultivar,NULL,scu,NULL,scu
Saccharum officinarum,sof,NULL,NULL,sof
Saccharum sp.,ssp,NULL,NULL,ssp
Salicornia europaea,seu,NULL,NULL,seu
Salvia miltiorrhiza,smi,NULL,smi,smi
Salvia sclarea,ssl,NULL,NULL,ssl
Salvinia cucullata,NULL,NULL,scc,scc
Selaginella moellendorffii,smo,smo,smo,smo
Setaria italica,NULL,sit,sit,sit
Silene latifolia,NULL,sla,NULL,sla
Solanum habrochaites,NULL,sha,NULL,sha
Solanum lycopersicum,sly,sly,sly,sly
Solanum melongena,NULL,sme,sme,sme
Solanum pennellii,NULL,spe,spe,spe
Solanum pimpinellifolium,NULL,spi,spi,spi
Solanum tuberosum,stu,stu,stu,stu
Sorghum bicolor,sbi,sbi,sbi,sbi
Spinacia oleracea,NULL,NULL,sol,sol
Spirodela polyrhiza,NULL,spo,spo,spo
Tarenaya hassleriana,NULL,NULL,tha,tha
Theobroma cacao,tcc,NULL,tcc,tcc
Triticum aestivum,tae,tae,tae,tae
Triticum turgidum,ttu,NULL,NULL,ttu
Triticum urartu,NULL,NULL,tur,tur
Vaccinium corymbosum,NULL,NULL,vco,vco
Vigna radiata,NULL,NULL,vra,vra
Vigna unguiculata,vun,vun,NULL,vun
Vitis vinifera,vvi,vvi,vvi,vvi
Volvox carteri,NULL,vca,vca,vca
Vriesea carinata,vca,NULL,NULL,vcr
Zea mays,zma,zma,zma,zma
Ziziphus jujuba,NULL,NULL,zju,zju
Zostera marina,NULL,zos,zos,zos
